Type,Question
Realistic,Test the quality of parts before shipment
Realistic,Lay brick or tile
Realistic,Work on an offshore oil-drilling rig
Realistic,Assemble electronic parts
Realistic,Operate a grinding machine in a factory
Realistic,Fix a broken faucet
Realistic,Assemble products in a factory
Realistic,Install flooring in houses
Investigative,Study the structure of the human body
Investigative,Study animal behavior
Investigative,Do research on plants or animals
Investigative,Develop a new medical treatment or procedure
Investigative,Conduct biological research
Investigative,Study whales and other types of marine life
Investigative,Work in a biology lab
Investigative,Make a map of the bottom of an ocean
Artistic,Conduct a musical choir
Artistic,Direct a play
Artistic,Design artwork for magazines
Artistic,Write a song
Artistic,Write books or plays
Artistic,Play a musical instrument
Artistic,Perform stunts for a movie or television show
Artistic,Design sets for plays
Social,Give career guidance to people
Social,Do volunteer work at a non-profit organization
Social,Help people who have problems with drugs or alcohol
Social,Teach an individual an exercise routine
Social,Help people with family-related problems
Social,Supervise the activities of children at a camp
Social,Teach children how to read
Social,Help elderly people with their daily activities
Enterprising,Sell restaurant franchises to individuals
Enterprising,Sell merchandise at a department store
Enterprising,Manage the operations of a hotel
Enterprising,Operate a beauty salon or barber shop
Enterprising,Manage a department within a large company
Enterprising,Manage a clothing store
Enterprising,Sell houses
Enterprising,Run a toy store
Conventional,Generate the monthly payroll checks for an office
Conventional,Inventory supplies using a hand-held computer
Conventional,Use a computer program to generate customer bills
Conventional,Maintain employee records
Conventional,Compute and record statistical and other numerical data
Conventional,Operate a calculator
Conventional,Handle customers' bank transactions
Conventional,Keep shipping and receiving recor
